RR2

VEHICLE 
NUMBER     CAPACITY
   11       200

CUSTOMER
CUST NO.  XCOORD.     YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME

     0      10         45          0          0        720          0
     1      25          1         25          0        720         50
     2      25          3          7          0        720         50
     3      31          5         13          0        720         50
     4      32          5          6          0        720         50
     5      31          7         14          0        720         50
     6      32          9          5          0        720         50
     7      34          9         11          0        720         50
     8      46          9         19          0        720         50
     9      35          7          5          0        720         50
    10      34          6         15          0        720         50
    11      35          5         15          0        720         50
    12      47          6         17          0        720         50
    13      40          5         13          0        720         50
    14      39          3         12          0        720         50
    15      36          3         18          0        720         50
    16      73          6         13          0        720         50
    17      73          8         18          0        720         50
    18      24         36         12          0        720         50
    19      76          6         17          0        720         50
    20      76         10          4          0        720         50
    21      76         13          7          0        720         50
    22      78          3         12          0        720         50
    23      78          9         13          0        720         50
    24      79          3          8          0        720         50
    25      79          5         16          0        720         50
    26      79         11         15          0        720         50
    27      82          3          6          0        720         50
    28      82          7          5          0        720         50
    29      90         15          9          0        720         50
    30      84          3         11          0        720         50
    31      84          5         10          0        720         50
    32      84          9          3          0        720         50
    33      85          1          7          0        720         50
    34      87          5          2          0        720         50
    35      85          8          4          0        720         50
    36      87          7          4          0        720         50
    37      86         41         18          0        720         50
    38      86         44         14          0        720         50
    39      86         46         12          0        720         50
    40      85         55         17          0        720         50
    41      89         43         20          0        720         50
    42      89         46         14          0        720         50
    43      89         52         16          0        720         50
    44      92         42         10          0        720         50
    45      92         52          9          0        720         50
    46      94         42         11          0        720         50
    47      94         44          7          0        720         50
    48      94         48         13          0        720         50
    49      96         42          5          0        720         50
    50      99         46          4          0        720         50
    51      99         50         21          0        720         50
    52      83         80         13          0        720         50
    53      83         83         11          0        720         50
    54      85         81         12          0        720         50
    55      85         85         14          0        720         50
    56      85         89         10          0        720         50
    57      87         80          8          0        720         50
    58      87         86         16          0        720         50
    59      90         77         19          0        720         50
    60      90         88          5          0        720         50
    61      93         82         17          0        720         50
    62      93         84          7          0        720         50
    63      93         89         16          0        720         50
    64      94         86         14          0        720         50
    65      95         80         17          0        720         50
    66      99         89         13          0        720         50
    67      37         83         17          0        720         50
    68      50         80         13          0        720         50
    69      35         85         14          0        720         50
    70      35         87         16          0        720         50
    71      44         86          7          0        720         50
    72      46         89         13          0        720         50
    73      46         83          9          0        720         50
    74      46         87         11          0        720         50
    75      46         89         35          0        720         50
    76      48         83          5          0        720         50
    77      50         85         28          0        720         50
    78      50         88          7          0        720         50
    79      54         86          3          0        720         50
    80      54         90         10          0        720         50
    81      10         35          7          0        720         50
    82      10         40         12          0        720         50
    83      18         30         11          0        720         50
    84      17         35         10          0        720         50
    85      16         38          8          0        720         50
    86      14         40         11          0        720         50
    87      15         42         21          0        720         50
    88      11         42          4          0        720         50
    89      18         40         15          0        720         50
    90      21         39         16          0        720         50
    91      20         40          4          0        720         50
    92      18         41         16          0        720         50
    93      20         44          7          0        720         50
    94      22         44         10          0        720         50
    95      16         45          9          0        720         50
    96      20         45         11          0        720         50
    97      25         45         17          0        720         50
    98      30         55         12          0        720         50
    99      20         50         11          0        720         50
   100      22         51          7          0        720         50
   101      18         49          9          0        720         50
   102      16         48         11          0        720         50
   103      20         55         12          0        720         50
   104      18         53          7          0        720         50
   105      14         50          8          0        720         50
   106      15         51          6          0        720         50
   107      16         54          5          0        720         50
   108      28         33         12          0        720         50
   109      33         38         13          0        720         50
   110      30         50          7          0        720         50
   111      13         40          7          0        720         50
   112      15         36          8          0        720         50
   113      18         31         11          0        720         50
   114      25         37         13          0        720         50
   115      30         46         11          0        720         50
   116      25         52         10          0        720         50
   117      16         33          7          0        720         50
   118      25         35          4          0        720         50
   119       5         40         20          0        720         50
   120       5         50         13          0        720         50
