RR1

VEHICLE 
NUMBER     CAPACITY
   2        1000

CUSTOMER
CUST NO.  XCOORD.     YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0        960          0
    1      25         85         20        388        911         10
    2      22         75         30         30        546         10
    3      22         85         10        353        708         10
    4      20         85         20         40        630         10
    5      18         75         20        228        667         10
    6      15         75         20        161        558         10
    7      15         80         10        229        624         10
    8      67         85         20        410        905         10
    9      65         85         40         43        617         10
   10      65         82         10        410        823         10
   11      62         80         30        114        561         10
   12      60         80         10         36        658         10
   13      60         85         30        191        586         10
   14      58         75         20        201        670         10
   15      55         80         10         33        568         10
   16      55         85         20        429        838         10
   17      55         82         10         49        504         10
   18      20         82         10         37        597         10
   19      20         50          5        239        630         10
   20      55         60         16        448        873         10
   21      31         52         27          9        510         10
   22      63         65          8         27        622         10
   23       2         60          5        135        556         10
   24       8         56         27        190        659         10
   25       6         68         30        215        608         10
   26      24         58         19         90        549         10
   27      61         52          3        373        928         10
   28      55         54         26        418        825         10
   29      26         52          9         14        499         10
