Cartella;Istanza;Clienti;Run;Tempo_Totale_Run;Best_Costo_Della_Run
n25;C101.txt;25;1;36.75301718711853;191.29999999999987
n25;C101.txt;25;2;36.909844160079956;191.29999999999987
n25;C101.txt;25;3;36.86696457862854;191.29999999999976
n25;C104.txt;25;1;62.861191272735596;186.89999999999995
n25;C104.txt;25;2;60.753658056259155;186.8999999999998
n25;C104.txt;25;3;58.59619760513306;186.89999999999992
n25;C108.txt;25;1;46.412325620651245;191.29999999999993
n25;C108.txt;25;2;47.12335824966431;191.2999999999999
n25;C108.txt;25;3;48.3370201587677;191.29999999999976
n25;C201.txt;25;1;71.08081531524658;214.6999999999998
n25;C201.txt;25;2;70.63460874557495;214.69999999999965
n25;C201.txt;25;3;70.63171434402466;214.6999999999998
n25;C204.txt;25;1;140.24935340881348;213.1
n25;C204.txt;25;2;135.33534741401672;213.09999999999994
n25;C204.txt;25;3;147.62990856170654;213.09999999999994
n25;C208.txt;25;1;103.45536589622498;214.49999999999915
n25;C208.txt;25;2;104.31610751152039;214.49999999999915
n25;C208.txt;25;3;102.46562814712524;214.49999999999915
n25;R101.txt;25;1;31.076538801193237;617.0999999999988
n25;R101.txt;25;2;30.270262241363525;617.0999999999988
n25;R101.txt;25;3;30.509711027145386;617.0999999999988
n25;R104.txt;25;1;48.855271339416504;416.8999999999993
n25;R104.txt;25;2;51.039284229278564;416.8999999999993
n25;R104.txt;25;3;49.30193281173706;416.8999999999993
n25;R108.txt;25;1;49.301305055618286;397.2999999999994
n25;R108.txt;25;2;49.48886179924011;397.2999999999994
n25;R108.txt;25;3;48.6587553024292;397.2999999999994
n25;R201.txt;25;1;59.50443649291992;463.2999999999997
n25;R201.txt;25;2;56.02415323257446;463.2999999999997
n25;R201.txt;25;3;58.98584055900574;463.2999999999997
n25;R204.txt;25;1;124.15254974365234;355.4
n25;R204.txt;25;2;117.10308885574341;357.4999999999999
n25;R204.txt;25;3;123.05173802375793;355.4
n25;R208.txt;25;1;136.69222736358643;328.19999999999925
n25;R208.txt;25;2;153.83712339401245;328.19999999999925
n25;R208.txt;25;3;161.51935267448425;328.19999999999925
n25;RC101.txt;25;1;34.22240233421326;462.4999999999999
n25;RC101.txt;25;2;36.52427840232849;461.0999999999999
n25;RC101.txt;25;3;36.022666215896606;462.4999999999999
n25;RC104.txt;25;1;54.266459703445435;306.5999999999998
n25;RC104.txt;25;2;47.74785256385803;306.5999999999998
n25;RC104.txt;25;3;52.645509481430054;306.5999999999998
n25;RC108.txt;25;1;52.14416241645813;294.4999999999999
n25;RC108.txt;25;2;52.90517783164978;294.4999999999998
n25;RC108.txt;25;3;58.25889301300049;294.49999999999955
n25;RC201.txt;25;1;65.11857461929321;360.2
n25;RC201.txt;25;2;66.8629698753357;360.19999999999993
n25;RC201.txt;25;3;57.71919345855713;360.19999999999993
n25;RC204.txt;25;1;150.53938221931458;299.6999999999998
n25;RC204.txt;25;2;134.73308730125427;299.6999999999998
n25;RC204.txt;25;3;137.22902059555054;299.6999999999998
n25;RC208.txt;25;1;136.13731288909912;269.0999999999998
n25;RC208.txt;25;2;131.84978365898132;269.0999999999998
n25;RC208.txt;25;3;122.69209885597229;269.0999999999998
n50;C101.txt;50;1;82.91610264778137;362.3999999999995
n50;C101.txt;50;2;86.86063408851624;362.39999999999986
n50;C101.txt;50;3;84.90718054771423;362.39999999999986
n50;C104.txt;50;1;167.3939392566681;357.9999999999999
n50;C104.txt;50;2;186.45709800720215;357.99999999999983
n50;C104.txt;50;3;170.3486590385437;357.99999999999994
n50;C108.txt;50;1;112.7136459350586;362.39999999999986
n50;C108.txt;50;2;114.18426036834717;362.39999999999986
n50;C108.txt;50;3;97.14394879341125;362.3999999999999
n50;C201.txt;50;1;207.5868535041809;372.7999999999986
n50;C201.txt;50;2;235.79145622253418;360.1999999999996
n50;C201.txt;50;3;228.6672966480255;360.1999999999999
n50;C204.txt;50;1;577.2538142204285;359.19999999999993
n50;C204.txt;50;2;525.0634331703186;362.9
n50;C204.txt;50;3;499.67860674858093;350.0999999999999
n50;C208.txt;50;1;347.0623867511749;350.4999999999998
n50;C208.txt;50;2;316.2961564064026;350.49999999999983
n50;C208.txt;50;3;322.63330268859863;350.4999999999998
n50;R101.txt;50;1;78.18232607841492;1047.9999999999998
n50;R101.txt;50;2;80.31832695007324;1050.7
n50;R101.txt;50;3;84.19991707801819;1053.7000000000007
n50;R104.txt;50;1;192.98623180389404;646.0999999999997
n50;R104.txt;50;2;184.13103938102722;635.9
n50;R104.txt;50;3;176.24455785751343;625.3999999999997
n50;R108.txt;50;1;217.81083059310913;624.5999999999998
n50;R108.txt;50;2;219.2535400390625;626.7999999999998
n50;R108.txt;50;3;222.40921235084534;624.8999999999999
n50;R201.txt;50;1;223.04177618026733;808.5000000000005
n50;R201.txt;50;2;199.28936743736267;798.8999999999999
n50;R201.txt;50;3;232.65904998779297;808.5000000000005
n50;R204.txt;50;1;468.51734042167664;508.0999999999997
n50;R204.txt;50;2;487.1736297607422;508.0999999999997
n50;R204.txt;50;3;482.70570492744446;508.09999999999957
n50;R208.txt;50;1;632.550167798996;488.4999999999997
n50;R208.txt;50;2;619.3026721477509;502.5999999999997
n50;R208.txt;50;3;635.6687853336334;499.0999999999998
n50;RC101.txt;50;1;108.53688788414001;957.8000000000001
n50;RC101.txt;50;2;90.54773569107056;954.2999999999997
n50;RC101.txt;50;3;117.2131016254425;961.0999999999996
n50;RC104.txt;50;1;186.2105438709259;552.1999999999998
n50;RC104.txt;50;2;182.38848495483398;547.7999999999996
n50;RC104.txt;50;3;182.5467984676361;555.4999999999999
n50;RC108.txt;50;1;159.29719638824463;607.6999999999998
n50;RC108.txt;50;2;151.49421501159668;598.0999999999998
n50;RC108.txt;50;3;147.22401475906372;604.4999999999998
n50;RC201.txt;50;1;206.93536281585693;684.7999999999996
n50;RC201.txt;50;2;211.2571747303009;684.7999999999998
n50;RC201.txt;50;3;205.84065198898315;684.7999999999998
n50;RC204.txt;50;1;426.1148371696472;446.1999999999999
n50;RC204.txt;50;2;407.51461386680603;450.10000000000144
n50;RC204.txt;50;3;414.7291932106018;450.10000000000144
n50;RC208.txt;50;1;303.26681995391846;482.60000000000014
n50;RC208.txt;50;2;298.4329309463501;482.60000000000014
n50;RC208.txt;50;3;307.44052386283875;482.60000000000014
n100;C101.txt;100;1;264.7852985858917;827.2999999999987
n100;C101.txt;100;2;253.17396354675293;827.2999999999997
n100;C101.txt;100;3;258.19834995269775;827.2999999999996
n100;C104.txt;100;1;349.36735463142395;859.9
