Cartella;Istanza;Run;Metodo;Costo;Tempo_Metodo
n25;C101.txt;1;Greedy_1;369.5;0.0009617805480957031
n25;C101.txt;1;G1_Neigh1_Insertion;231.80000000000013;0.013744115829467773
n25;C101.txt;1;G1_Neigh2_OrOpt;369.5;0.000263214111328125
n25;C101.txt;1;G1_Neigh3_Swap;369.5;0.00013589859008789062
n25;C101.txt;1;SA1_on_Neigh1;191.3;0.7957291603088379
n25;C101.txt;1;SA1_on_Neigh2;191.3;0.8040564060211182
n25;C101.txt;1;SA1_on_Neigh3;191.3;0.7817785739898682
n25;C101.txt;1;GRASP_G1;191.3000000000001;2.2846121788024902
n25;C101.txt;1;Tabu_G1;231.80000000000013;13.972253799438477
n25;C101.txt;1;VNS_G1;231.80000000000013;0.10206842422485352
n25;C101.txt;1;Greedy_2;1130.4;0.0004994869232177734
n25;C101.txt;1;G2_Neigh1_Insertion;255.30000000000007;0.03663778305053711
n25;C101.txt;1;G2_Neigh2_OrOpt;1130.4;3.337860107421875e-05
n25;C101.txt;1;G2_Neigh3_Swap;1130.4;0.00013685226440429688
n25;C101.txt;1;SA2_on_Neigh1;191.3;1.4307105541229248
n25;C101.txt;1;SA2_on_Neigh2;191.3;1.9846155643463135
n25;C101.txt;1;SA2_on_Neigh3;191.3;2.6977691650390625
n25;C101.txt;1;GRASP_G2;191.2999999999998;7.75153112411499
n25;C101.txt;1;Tabu_G2;191.30000000000013;26.458744525909424
n25;C101.txt;1;VNS_G2;224.0999999999999;0.04460859298706055
n25;C101.txt;1;Memetic_Algorithm;191.29999999999987;6.8877174854278564
n25;C101.txt;2;Greedy_1;369.5;0.0011780261993408203
n25;C101.txt;2;G1_Neigh1_Insertion;231.80000000000013;0.009619712829589844
n25;C101.txt;2;G1_Neigh2_OrOpt;369.5;0.0002665519714355469
n25;C101.txt;2;G1_Neigh3_Swap;369.5;0.0001304149627685547
n25;C101.txt;2;SA1_on_Neigh1;191.3;0.7701654434204102
n25;C101.txt;2;SA1_on_Neigh2;191.3;0.8238310813903809
n25;C101.txt;2;SA1_on_Neigh3;191.3;0.870901346206665
n25;C101.txt;2;GRASP_G1;191.29999999999998;1.9458954334259033
n25;C101.txt;2;Tabu_G1;231.80000000000013;11.035253047943115
n25;C101.txt;2;VNS_G1;222.49999999999997;0.08576536178588867
n25;C101.txt;2;Greedy_2;1130.4;0.00037479400634765625
n25;C101.txt;2;G2_Neigh1_Insertion;255.30000000000007;0.014224052429199219
n25;C101.txt;2;G2_Neigh2_OrOpt;1130.4;1.811981201171875e-05
n25;C101.txt;2;G2_Neigh3_Swap;1130.4;9.918212890625e-05
n25;C101.txt;2;SA2_on_Neigh1;191.3;0.8235158920288086
n25;C101.txt;2;SA2_on_Neigh2;191.3;0.8537938594818115
n25;C101.txt;2;SA2_on_Neigh3;224.09999999999997;0.7444839477539062
n25;C101.txt;2;GRASP_G2;191.29999999999998;2.3774898052215576
n25;C101.txt;2;Tabu_G2;191.30000000000013;10.226601123809814
n25;C101.txt;2;VNS_G2;224.0999999999999;0.08870053291320801
n25;C101.txt;2;Memetic_Algorithm;191.29999999999987;6.65506649017334
n25;C101.txt;3;Greedy_1;369.5;0.0006275177001953125
n25;C101.txt;3;G1_Neigh1_Insertion;231.80000000000013;0.009638786315917969
n25;C101.txt;3;G1_Neigh2_OrOpt;369.5;0.0002853870391845703
n25;C101.txt;3;G1_Neigh3_Swap;369.5;0.00012946128845214844
n25;C101.txt;3;SA1_on_Neigh1;222.5;0.8395941257476807
n25;C101.txt;3;SA1_on_Neigh2;191.3;0.8826718330383301
n25;C101.txt;3;SA1_on_Neigh3;191.3;0.7462620735168457
n25;C101.txt;3;GRASP_G1;191.29999999999998;3.8245153427124023
n25;C101.txt;3;Tabu_G1;231.80000000000013;30.838117599487305
n25;C101.txt;3;VNS_G1;231.80000000000013;0.27506518363952637
n25;C101.txt;3;Greedy_2;1130.4;0.0015413761138916016
n25;C101.txt;3;G2_Neigh1_Insertion;255.30000000000007;0.058193206787109375
n25;C101.txt;3;G2_Neigh2_OrOpt;1130.4;6.604194641113281e-05
n25;C101.txt;3;G2_Neigh3_Swap;1130.4;0.00038814544677734375
n25;C101.txt;3;SA2_on_Neigh1;191.3;2.3506743907928467
n25;C101.txt;3;SA2_on_Neigh2;255.29999999999998;1.7324142456054688
n25;C101.txt;3;SA2_on_Neigh3;191.3;2.033498764038086
n25;C101.txt;3;GRASP_G2;191.30000000000018;6.449492931365967
n25;C101.txt;3;Tabu_G2;191.30000000000013;35.95967078208923
n25;C101.txt;3;VNS_G2;221.40000000000006;0.20725035667419434
n25;C101.txt;3;Memetic_Algorithm;191.29999999999987;18.69286012649536
n25;C104.txt;1;Greedy_1;367.20000000000005;0.0006000995635986328
n25;C104.txt;1;G1_Neigh1_Insertion;280.7000000000003;0.060732364654541016
n25;C104.txt;1;G1_Neigh2_OrOpt;360.70000000000005;0.003515481948852539
n25;C104.txt;1;G1_Neigh3_Swap;360.0;0.0041484832763671875
n25;C104.txt;1;SA1_on_Neigh1;222.39999999999998;6.764773607254028
n25;C104.txt;1;SA1_on_Neigh2;190.3;6.190363168716431
n25;C104.txt;1;SA1_on_Neigh3;190.3;6.243801593780518
n25;C104.txt;1;GRASP_G1;186.89999999999992;8.317215204238892
n25;C104.txt;1;Tabu_G1;275.6000000000005;16.222591876983643
n25;C104.txt;1;VNS_G1;280.7;0.22271084785461426
n25;C104.txt;1;Greedy_2;1130.4;0.0003838539123535156
n25;C104.txt;1;G2_Neigh1_Insertion;290.3999999999999;0.03801608085632324
n25;C104.txt;1;G2_Neigh2_OrOpt;1130.4;1.9788742065429688e-05
n25;C104.txt;1;G2_Neigh3_Swap;1130.4;9.417533874511719e-05
n25;C104.txt;1;SA2_on_Neigh1;223.5;2.268705129623413
n25;C104.txt;1;SA2_on_Neigh2;190.3;2.1693308353424072
n25;C104.txt;1;SA2_on_Neigh3;186.90000000000003;1.9194698333740234
n25;C104.txt;1;GRASP_G2;190.0000000000001;5.684154033660889
n25;C104.txt;1;Tabu_G2;288.9999999999999;11.494487762451172
n25;C104.txt;1;VNS_G2;222.09999999999997;0.1737053394317627
n25;C104.txt;1;Memetic_Algorithm;186.89999999999998;10.857732772827148
n25;C104.txt;2;Greedy_1;367.20000000000005;0.0005466938018798828
n25;C104.txt;2;G1_Neigh1_Insertion;280.7000000000003;0.018948793411254883
n25;C104.txt;2;G1_Neigh2_OrOpt;360.70000000000005;0.0011181831359863281
n25;C104.txt;2;G1_Neigh3_Swap;360.0;0.0011005401611328125
n25;C104.txt;2;SA1_on_Neigh1;190.3;2.7119641304016113
n25;C104.txt;2;SA1_on_Neigh2;186.89999999999998;2.6491305828094482
n25;C104.txt;2;SA1_on_Neigh3;190.3;2.47281551361084
n25;C104.txt;2;GRASP_G1;190.00000000000023;6.664856672286987
n25;C104.txt;2;Tabu_G1;275.6000000000005;16.939979791641235
n25;C104.txt;2;VNS_G1;280.70000000000005;0.2572164535522461
n25;C104.txt;2;Greedy_2;1130.4;0.0003898143768310547
n25;C104.txt;2;G2_Neigh1_Insertion;290.3999999999999;0.04182147979736328
n25;C104.txt;2;G2_Neigh2_OrOpt;1130.4;2.7894973754882812e-05
n25;C104.txt;2;G2_Neigh3_Swap;1130.4;0.00010514259338378906
n25;C104.txt;2;SA2_on_Neigh1;190.3;2.8004231452941895
n25;C104.txt;2;SA2_on_Neigh2;190.3;2.4062294960021973
n25;C104.txt;2;SA2_on_Neigh3;194.89999999999998;1.9478061199188232
n25;C104.txt;2;GRASP_G2;190.0;5.79293966293335
n25;C104.txt;2;Tabu_G2;288.9999999999999;10.887214422225952
n25;C104.txt;2;VNS_G2;290.3999999999999;0.13907122611999512
n25;C104.txt;2;Memetic_Algorithm;186.89999999999995;9.304584741592407
n25;C104.txt;3;Greedy_1;367.20000000000005;0.0009894371032714844
n25;C104.txt;3;G1_Neigh1_Insertion;280.7000000000003;0.01605224609375
n25;C104.txt;3;G1_Neigh2_OrOpt;360.70000000000005;0.00101470947265625
n25;C104.txt;3;G1_Neigh3_Swap;360.0;0.0010290145874023438
n25;C104.txt;3;SA1_on_Neigh1;190.90000000000003;2.387206554412842
n25;C104.txt;3;SA1_on_Neigh2;190.90000000000003;2.856839418411255
n25;C104.txt;3;SA1_on_Neigh3;190.3;2.148456335067749
n25;C104.txt;3;GRASP_G1;190.00000000000006;8.47765302658081
n25;C104.txt;3;Tabu_G1;275.6000000000005;14.24180006980896
n25;C104.txt;3;VNS_G1;223.5;0.21521329879760742
n25;C104.txt;3;Greedy_2;1130.4;0.00039887428283691406
n25;C104.txt;3;G2_Neigh1_Insertion;290.3999999999999;0.03946852684020996
n25;C104.txt;3;G2_Neigh2_OrOpt;1130.4;1.9311904907226562e-05
n25;C104.txt;3;G2_Neigh3_Swap;1130.4;9.632110595703125e-05
n25;C104.txt;3;SA2_on_Neigh1;190.3;1.8727116584777832
n25;C104.txt;3;SA2_on_Neigh2;192.2;1.78995943069458
n25;C104.txt;3;SA2_on_Neigh3;190.90000000000003;2.0387637615203857
n25;C104.txt;3;GRASP_G2;191.00000000000023;6.333343982696533
n25;C104.txt;3;Tabu_G2;288.9999999999999;10.329928159713745
n25;C104.txt;3;VNS_G2;223.49999999999994;0.16940808296203613
n25;C104.txt;3;Memetic_Algorithm;186.89999999999998;10.010059356689453
n25;C108.txt;1;Greedy_1;353.20000000000005;0.0009322166442871094
n25;C108.txt;1;G1_Neigh1_Insertion;216.80000000000007;0.011750459671020508
n25;C108.txt;1;G1_Neigh2_OrOpt;353.20000000000005;0.00031447410583496094
n25;C108.txt;1;G1_Neigh3_Swap;352.6;0.0002067089080810547
n25;C108.txt;1;SA1_on_Neigh1;191.3;1.2324268817901611
n25;C108.txt;1;SA1_on_Neigh2;191.3;1.1799640655517578
n25;C108.txt;1;SA1_on_Neigh3;191.3;1.113283634185791
n25;C108.txt;1;GRASP_G1;191.3000000000001;3.5806405544281006
n25;C108.txt;1;Tabu_G1;216.80000000000007;14.568387508392334
n25;C108.txt;1;VNS_G1;216.79999999999998;0.13025379180908203
n25;C108.txt;1;Greedy_2;1130.4;0.0003688335418701172
n25;C108.txt;1;G2_Neigh1_Insertion;224.1000000000003;0.019539594650268555
n25;C108.txt;1;G2_Neigh2_OrOpt;1130.4;1.811981201171875e-05
n25;C108.txt;1;G2_Neigh3_Swap;1130.4;9.465217590332031e-05
n25;C108.txt;1;SA2_on_Neigh1;191.3;1.1625380516052246
n25;C108.txt;1;SA2_on_Neigh2;191.3;1.1666936874389648
n25;C108.txt;1;SA2_on_Neigh3;216.9;1.265685796737671
n25;C108.txt;1;GRASP_G2;191.3000000000003;3.0785279273986816
n25;C108.txt;1;Tabu_G2;191.30000000000035;10.853282690048218
n25;C108.txt;1;VNS_G2;224.1000000000003;0.03921246528625488
n25;C108.txt;1;Memetic_Algorithm;191.29999999999993;7.682547569274902
n25;C108.txt;2;Greedy_1;353.20000000000005;0.0011174678802490234
n25;C108.txt;2;G1_Neigh1_Insertion;216.80000000000007;0.013984918594360352
n25;C108.txt;2;G1_Neigh2_OrOpt;353.20000000000005;0.0005233287811279297
n25;C108.txt;2;G1_Neigh3_Swap;352.6;0.0002887248992919922
n25;C108.txt;2;SA1_on_Neigh1;191.3;1.2819368839263916
n25;C108.txt;2;SA1_on_Neigh2;191.3;1.1111164093017578
n25;C108.txt;2;SA1_on_Neigh3;191.3;1.1586987972259521
n25;C108.txt;2;GRASP_G1;216.80000000000007;2.679677724838257
n25;C108.txt;2;Tabu_G1;216.80000000000007;14.694123268127441
n25;C108.txt;2;VNS_G1;216.79999999999998;0.1358194351196289
n25;C108.txt;2;Greedy_2;1130.4;0.00037741661071777344
n25;C108.txt;2;G2_Neigh1_Insertion;224.1000000000003;0.019830942153930664
n25;C108.txt;2;G2_Neigh2_OrOpt;1130.4;1.9550323486328125e-05
n25;C108.txt;2;G2_Neigh3_Swap;1130.4;9.751319885253906e-05
n25;C108.txt;2;SA2_on_Neigh1;224.09999999999997;1.134303092956543
n25;C108.txt;2;SA2_on_Neigh2;191.3;1.1012465953826904
n25;C108.txt;2;SA2_on_Neigh3;191.3;1.0655229091644287
n25;C108.txt;2;GRASP_G2;191.29999999999998;2.7168257236480713
n25;C108.txt;2;Tabu_G2;191.30000000000035;10.660717964172363
n25;C108.txt;2;VNS_G2;224.1000000000003;0.08673739433288574
n25;C108.txt;2;Memetic_Algorithm;191.29999999999995;7.519582271575928
n25;C108.txt;3;Greedy_1;353.20000000000005;0.0011813640594482422
n25;C108.txt;3;G1_Neigh1_Insertion;216.80000000000007;0.013145923614501953
n25;C108.txt;3;G1_Neigh2_OrOpt;353.20000000000005;0.0006434917449951172
n25;C108.txt;3;G1_Neigh3_Swap;352.6;0.0005671977996826172
n25;C108.txt;3;SA1_on_Neigh1;191.3;1.1725642681121826
n25;C108.txt;3;SA1_on_Neigh2;191.3;1.1375370025634766
n25;C108.txt;3;SA1_on_Neigh3;191.3;1.1632111072540283
n25;C108.txt;3;GRASP_G1;191.29999999999993;2.7881197929382324
n25;C108.txt;3;Tabu_G1;216.80000000000007;14.516731977462769
n25;C108.txt;3;VNS_G1;216.79999999999998;0.17718195915222168
n25;C108.txt;3;Greedy_2;1130.4;0.000392913818359375
n25;C108.txt;3;G2_Neigh1_Insertion;224.1000000000003;0.019626140594482422
n25;C108.txt;3;G2_Neigh2_OrOpt;1130.4;1.9311904907226562e-05
n25;C108.txt;3;G2_Neigh3_Swap;1130.4;9.918212890625e-05
n25;C108.txt;3;SA2_on_Neigh1;224.1000000000003;1.1666347980499268
n25;C108.txt;3;SA2_on_Neigh2;191.3;1.2966821193695068
n25;C108.txt;3;SA2_on_Neigh3;224.09999999999997;1.1773505210876465
n25;C108.txt;3;GRASP_G2;191.29999999999978;3.363840341567993
n25;C108.txt;3;Tabu_G2;191.30000000000035;10.614067316055298
n25;C108.txt;3;VNS_G2;221.40000000000006;0.10425329208374023
n25;C108.txt;3;Memetic_Algorithm;191.29999999999995;7.6567063331604
n25;C201.txt;1;Greedy_1;610.8;0.0010771751403808594
n25;C201.txt;1;G1_Neigh1_Insertion;214.6999999999998;0.027283191680908203
n25;C201.txt;1;G1_Neigh2_OrOpt;610.8;0.0002224445343017578
n25;C201.txt;1;G1_Neigh3_Swap;610.8;0.00012373924255371094
n25;C201.txt;1;SA1_on_Neigh1;214.6999999999998;1.0230598449707031
n25;C201.txt;1;SA1_on_Neigh2;214.7;1.1647734642028809
n25;C201.txt;1;SA1_on_Neigh3;214.7;1.2166996002197266
n25;C201.txt;1;GRASP_G1;214.6999999999998;3.477412462234497
n25;C201.txt;1;Tabu_G1;214.6999999999998;21.859726428985596
n25;C201.txt;1;VNS_G1;214.6999999999998;0.07809877395629883
n25;C201.txt;1;Greedy_2;1273.0;0.0003857612609863281
n25;C201.txt;1;G2_Neigh1_Insertion;214.70000000000024;0.03627419471740723
n25;C201.txt;1;G2_Neigh2_OrOpt;1273.0;2.0503997802734375e-05
n25;C201.txt;1;G2_Neigh3_Swap;1273.0;0.00010609626770019531
n25;C201.txt;1;SA2_on_Neigh1;214.7;1.3945400714874268
n25;C201.txt;1;SA2_on_Neigh2;214.7;1.1576807498931885
n25;C201.txt;1;SA2_on_Neigh3;214.7;1.0247361660003662
n25;C201.txt;1;GRASP_G2;214.70000000000024;3.5517280101776123
n25;C201.txt;1;Tabu_G2;214.70000000000024;22.90006113052368
n25;C201.txt;1;VNS_G2;214.69999999999996;0.17858338356018066
n25;C201.txt;1;Memetic_Algorithm;214.69999999999982;13.137778997421265
n25;C201.txt;2;Greedy_1;610.8;0.0009801387786865234
n25;C201.txt;2;G1_Neigh1_Insertion;214.6999999999998;0.02893686294555664
n25;C201.txt;2;G1_Neigh2_OrOpt;610.8;0.0002238750457763672
n25;C201.txt;2;G1_Neigh3_Swap;610.8;0.0001270771026611328
n25;C201.txt;2;SA1_on_Neigh1;214.6999999999998;1.0954720973968506
n25;C201.txt;2;SA1_on_Neigh2;214.7;1.2845942974090576
n25;C201.txt;2;SA1_on_Neigh3;214.7;1.1351234912872314
n25;C201.txt;2;GRASP_G1;214.6999999999998;3.498626708984375
n25;C201.txt;2;Tabu_G1;214.6999999999998;22.084932804107666
n25;C201.txt;2;VNS_G1;214.6999999999998;0.3319084644317627
n25;C201.txt;2;Greedy_2;1273.0;0.0003859996795654297
n25;C201.txt;2;G2_Neigh1_Insertion;214.70000000000024;0.03516268730163574
n25;C201.txt;2;G2_Neigh2_OrOpt;1273.0;1.9311904907226562e-05
n25;C201.txt;2;G2_Neigh3_Swap;1273.0;0.00010061264038085938
n25;C201.txt;2;SA2_on_Neigh1;214.7;0.9896335601806641
n25;C201.txt;2;SA2_on_Neigh2;214.7;1.1656434535980225
n25;C201.txt;2;SA2_on_Neigh3;214.7;0.9346768856048584
n25;C201.txt;2;GRASP_G2;214.70000000000024;3.601407051086426
n25;C201.txt;2;Tabu_G2;214.70000000000024;22.401593923568726
n25;C201.txt;2;VNS_G2;214.69999999999996;0.1774444580078125
n25;C201.txt;2;Memetic_Algorithm;214.6999999999999;12.82888150215149
n25;C201.txt;3;Greedy_1;610.8;0.001024484634399414
n25;C201.txt;3;G1_Neigh1_Insertion;214.6999999999998;0.029079914093017578
n25;C201.txt;3;G1_Neigh2_OrOpt;610.8;0.00022912025451660156
n25;C201.txt;3;G1_Neigh3_Swap;610.8;0.0001308917999267578
n25;C201.txt;3;SA1_on_Neigh1;214.6999999999998;1.1815767288208008
n25;C201.txt;3;SA1_on_Neigh2;214.7;1.1672985553741455
n25;C201.txt;3;SA1_on_Neigh3;214.7;1.2445621490478516
n25;C201.txt;3;GRASP_G1;214.6999999999998;3.7623143196105957
n25;C201.txt;3;Tabu_G1;214.6999999999998;22.31196427345276
n25;C201.txt;3;VNS_G1;214.6999999999998;0.12220621109008789
